id,time,disp_min,disp_mean,disp_max,pct_1px,pct_3px,saved_npy,saved_png
000659,7.6476,23.627511978149414,32.60590744018555,49.838287353515625,98.82986230778069,99.75546912182233,000659.npy,000659.png
000622,7.3422,24.662628173828125,36.82136535644531,51.992530822753906,99.51901704866299,99.99759708767026,000622.npy,000622.png
000501,7.3017,29.513694763183594,36.94082260131836,44.88216018676758,90.21341078418992,98.07404812435587,000501.npy,000501.png
000740,7.3438,23.214263916015625,53.4329948425293,88.02446746826172,96.6853462730347,99.80081371435959,000740.npy,000740.png
000727,8.2316,31.888935089111328,46.37489318847656,57.97911071777344,98.77649147833547,99.61743537051908,000727.npy,000727.png
000416,7.7532,12.371294975280762,28.124176025390625,55.888427734375,76.21526264450117,98.33468235684785,000416.npy,000416.png
000731,7.0182,30.10757064819336,37.660465240478516,50.28309631347656,99.20405147306653,99.96932011649714,000731.npy,000731.png
000786,6.9198,29.732975006103516,36.028602600097656,43.285099029541016,98.76597549557047,99.86755443872693,000786.npy,000786.png
000511,7.8931,31.937938690185547,41.628787994384766,51.801692962646484,93.00661372449021,99.76686014036963,000511.npy,000511.png
000486,7.38,23.711700439453125,38.5197639465332,55.63148498535156,97.23887454601147,99.2989007035303,000486.npy,000486.png
000491,7.3272,22.329120635986328,28.358999252319336,56.5198974609375,66.57143958505549,98.8474239432578,000491.npy,000491.png
000623,7.3793,24.975574493408203,33.65496826171875,49.127418518066406,98.94149701416963,99.98030879031676,000623.npy,000623.png
000476,7.5569,27.012971878051758,40.739479064941406,61.44829177856445,81.87427396164613,96.91159947439584,000476.npy,000476.png
000652,7.7143,22.555021286010742,30.105226516723633,40.778079986572266,99.60451155763467,99.99676822519007,000652.npy,000652.png
000504,7.8346,27.50741195678711,50.88542938232422,66.0228042602539,95.03561529390777,99.61491099439989,000504.npy,000504.png
000746,8.1094,26.255266189575195,40.024269104003906,60.72020721435547,97.97756126365516,99.91860771311613,000746.npy,000746.png
000613,8.7735,27.85688018798828,36.05436706542969,47.49908447265625,95.74139568723349,99.79466866069805,000613.npy,000613.png
000591,9.0619,25.097681045532227,42.148223876953125,67.4271240234375,93.79790781599743,99.5596363802476,000591.npy,000591.png
000631,8.3765,17.94493293762207,27.857208251953125,42.69480514526367,98.47876398061463,99.92420027255646,000631.npy,000631.png
000775,8.2562,37.17830276489258,50.090572357177734,62.41898727416992,96.47444623693055,99.95408165338556,000775.npy,000775.png
000523,8.9652,27.30515480041504,37.06907272338867,54.24898147583008,95.39051905467645,99.95549640402548,000523.npy,000523.png
000532,11.9458,29.31837272644043,39.669830322265625,51.73799514770508,95.30363085832325,99.72722216827479,000532.npy,000532.png
000572,9.988,24.200847625732422,39.32957077026367,66.21338653564453,74.61947753532259,87.43868454932125,000572.npy,000572.png
000543,9.3022,29.96875,42.116886138916016,62.39738082885742,78.81987547638253,96.78982171579827,000543.npy,000543.png
000415,10.2563,13.392101287841797,25.770841598510742,48.99772262573242,66.34805817402909,96.24384812192406,000415.npy,000415.png
000578,9.9663,20.031518936157227,39.25743103027344,64.70886993408203,81.20484180819774,93.68082827561585,000578.npy,000578.png
000715,12.0435,30.253089904785156,38.32193374633789,48.93333435058594,99.17537218069134,99.99161395437991,000715.npy,000715.png
000517,11.7902,30.24673080444336,41.3431510925293,62.3509407043457,85.30888071912787,98.87838153728457,000517.npy,000517.png
000619,9.6862,28.37128448486328,33.47580337524414,45.860111236572266,94.82117666917182,99.96141804751207,000619.npy,000619.png
000456,8.683,22.908924102783203,29.44409942626953,37.28913879394531,98.70385548421109,99.92709959348757,000456.npy,000456.png
